zh-CN,ko
暴戾的成员,험상궂은 단원
谄媚的成员,아부쟁이 단원
萨珈,사쟈
暗商,암상인
赫瑞尤,크리피움
长袍人群的领头人,로브 차림 인솔자
长袍人群,로브 차림들
奇怪的长袍人,이상한 로브 차림
虔诚的长袍人,경건한 로브 차림
狂热的长袍人,열광적인 로브 차림
黑色人影,검은 옷
愤怒的长袍人,분노한 로브 차림
虔诚的徒从,경건한 신도
徒从们,신도들
欣喜的徒从,기쁜 신도
狂热的徒从,열광하는 신도
德米特里,드미트리
诧异的士兵,경악한 병사
洛林,로렌
勘测部队联络员,조사부대 통신병
可靠的士兵,믿음직한 병사
蓝雪球,블루스피어
茧,코쿤
谨慎的士兵,신중한 병사
认真的士兵,진지한 병사
勘测部队准尉,조사부대 준위
勘测部队士兵们,조사부대 병사들
新苏联士兵,신소련 병사
尼古拉,니콜라스
小心的士兵,소심한 병사
伊万,이반
曼尼安保成员,매그니 시큐리티 대원
曼尼安保队长,매그니 시큐리티 대장
勤劳的士兵,부지런한 병사
神秘人,수수께끼의 인물
“翻译器”,“통역기”
“纳美西丝POD”,“네메시스 POD”
维因,웨인
观众,관객
帕斯卡,페르시카
UMP45,UMP45
管理员,매니저
人形们,인형들
菲奥多,피오도
克罗耶尔,크뢰이어
不耐烦的观众,귀찮은 관객
急躁的观众,성미 급한 관객
胆小的观众,소심한 관객
阴沉的观众,음침한 관객
迟钝的工作人员,둔한 직원
精明的工作人员,눈치 빠른 직원
西比拉,시빌라
瘦弱的袭击者,가녀린 습격자
魁梧的袭击者,우람한 습격자
新闻广播,뉴스 방송
亨利·威尔逊,헨리 윌슨
杜莎妮？,드셰브니?
斯捷奇金,스테츠킨
孩子,아이
清洁机器人,로봇 청소기
后勤部职员,후방지원부 직원
安保人形,안보 인형
中年男子,중년 남자
店长,점장
队员,대원
AK-Alfa,AK-Alfa
赫丽安图丝,헬리안투스
奇塔录音,치타 녹음
PzB39,PzB39
治安人员,치안대원
管家,집사
年轻女性,젊은 여자
赫蒂,헤이디
茜丝莉,시슬리
WKp,WKp
前线人形,전선 인형
担心的人形,걱정하는 인형
坚定的人形,단호한 인형
激动的人形,흥분한 인형
II_77090,II_77090
负伤的赏金猎人,다친 현상금 사냥꾼
夏洛特,샬럿
恼怒的赏金猎人,분노한 현상금 사냥꾼
惊慌的人形,당황한 인형
不忿的人形,분개한 인형
赏金猎人首领,현상금 사냥꾼 리더
紧张的人形,긴장한 인형
焦急的人形,초조한 인형
欣喜的人形,기쁜 인형
开心的人形,즐거운 인형
愤愤不平的人形,불평 가득한 인형
惊讶的人形,놀란 인형
感慨的人形,감탄하는 인형
兴奋的人形,흥분한 인형
开朗的人形,유쾌한 인형
女子,여자
97式,97식
芳音,팡인
暴躁的客人,난폭한 손님
排队的客人,줄 선 손님
稳重的客人,침착한 손님
认真的客人,진지한 손님
亨利,헨리
随和的客人,살가운 손님
主持人,MC
贝拉,벨라
可疑男子,수상한 남자
悠闲的客人,느긋한 손님
酒吧老板,바 마스터
服务人形,서비스직 인형
快递员组长,택배원 팀장
快递员,택배원
修车行老板,정비소 주인
混混青年,젊은 깡패
面包车司机,봉고차 기사
邻居,이웃
纵火犯,방화범
加莉娜,갈리나
克拉拉,클라라
高瘦的男子,키크고 마른 남자
粗壮的男子,건장한 남자
防御机械,방어 로봇
恶龙,드래곤
认真的人形,진지한 인형
亲切的人形,친절한 인형
薇拉Idle,벨라 Idle
薇拉Ridicule,베라 Ridicule
薇拉Sad,벨라 Sad
珀伽索Idle,페가수스 Idle
珀伽索比身高,페가수스의 키
卫队成员男,호위대원 남
卫队成员女,호위대원 여
男孩,남자아이
军人,군인
男人,남자
刘氏步枪,류 소총
56-1式,56-1식
翼骑兵,후사르
留里克·吉拉尔,류리크 지라드
哨崖镇长,초애 마을 촌장
镇长,촌장
帕维尔·斯莫林,파벨 스몰린
帕维尔的部下,파벨의 부하
卢米,루미
车内广播,내부 방송
店员,점원
警报,경보
服务员,종업원
《观察日记》,《관찰 일기》
窃窃私语的顾客,속닥거리는 고객
艾黎·布兰登,에일리 브란돈
卡蜜拉（？）,카밀라?
狄兰·卡蜜拉,델린 카밀라
惊慌的侍者,당황한 종업원
寇尔芙？,콜펜은?
小女孩,여자아이
警卫,경찰이
监察官雷欧,감찰관 레오
监察官,감찰관
尤拉,유라
副官,부관
*系统提示*,*시스템 안내*
勘测部队士兵,조사부대 병사
伤员,부상자
拾荒者,스캐빈저
冷漠的声音,냉담한 목소리
干练的声音,똑부러진 목소리
德利娅,델리아
远征队长凯伦,원정대장 캘런
经过处理的声音,변조된 목소리
玛绮朵&桑朵莱希,마키아토 & 센타우레이시
小队队长,팀장
兰汀,렌틴
柯尼,케니
曼尼安保士兵,매그니 시큐리티 병사
梅兰妮,멜라니
加密的声音,변조된 목소리
本地音源,현장의 목소리
辛普森,심프슨
自律机器人,자율로봇
热情的小贩,열정적인 소상인
精明的小贩,깐깐한 소상인
犹豫的拾荒者,망설이는 스캐빈저
热情的拾荒者,열정적인 스캐빈저
电话里的声音,전화 속 목소리
模糊的声音,흐릿한 목소리
人类的声音,인간의 목소리
六分仪的声音,섹스턴스의 목소리
低沉的嗓音,묵직한 목소리
研究员A,연구원 A
研究员B,연구원 B
熟悉的声音,익숙한 목소리
曼尼安保众队员,매그니 시큐리티 대원들
波文,보웬
小男孩,남자아이
杰罗曼,젤로먼
商人,상인
司机,운전기사
兰妮,랜니
指令输入>_,명령 입력>_
数据记录>_,데이터 기록>_
“卢米”,루미
愤怒的路人,열받은 행인
惊慌的路人,당황한 행인
疑惑的路人,어리둥절한 행인
生气的路人,성난 행인
卡门,카르멘
伊涅萨,이넷사
戴维,데이비
斐狄,파데이
留里克,류리크
通讯终端,통신 단말기
巴维尔,파벨
莱布妮丝,라이브니스
老板,사장
收银机,카운터
孩子们,아이들
艾尔文,에르빈
开朗的女孩,해맑은 여자아이
库利奇,쿨리치
开朗的男孩,해맑은 남자아이
格蕾丝老师,그레이스 선생
活泼的女孩,활발한 여자아이
害羞的女孩,수줍은 여자아이
队长,대장
奥列克,올레그
音频,오디오
接待员,접수원
运输队员,수송대원
女声,여성 목소리
男声,남성 목소리
居民,주민
安东尼,안토니
斯科特,스콧
下属,부하
少年,소년
星愿大师,위시 마스터
暴躁的声音,난폭한 목소리
乌娜,우나
索普,소프
克鲁格,크루거
齐默尔曼,치머만
搜查人员,수사대원
记者,기자
G11？,G11?
AN-94,6P33
系统提示,시스템 안내
系统防御机械？,시스템 방어기계?
黑眼？,다츄어?
新闻主持,뉴스 아나운서
激动的游行市民,과격한 시위대
惊慌的游行市民,당황한 시위대
治安机械,치안 로봇
特管处人员,특관처 직원
外援队队员,지원부대 대원
校车司机,스쿨버스 기사
阿丽娜,알리나
接待人员,접대 직원
不满的P.M.C.成员,불만스러운 P.M.C.부대원
医护人员,의료대원
虚弱的P.M.C.成员,허약한 P.M.C.부대원
P.M.C.成员,P.M.C.부대원
机组人员,스튜어디스
陌生人形,낯선 인형
焦急的技术人员,조급한 기술자
老练的技术人员,노련한 기술자
瓦西里,바실리
避难部队成员,피난호송부대원
轨道军士兵,철도군 병사
为难的治安人员,곤란해하는 치안대원
无奈的治安人员,체념한 치안대원
疲惫的治安人员,지친 치안대원
忙碌的技术人员,바쁜 기술자
警觉的前线部队成员,경계하는 전선부대원
惊慌的前线部队成员,당황한 전선부대원
慌乱的作战人员,패닉에 빠진 작전 인원
与会众人,참석자들
慌张的避难部队成员,죽어가는 피난호송부대원
神秘女孩,수수께끼의 소녀
谨慎的普通人形,신중한 일반 인형
UMP40,UMP40
暴躁的可疑男子,난폭한 거수자
40？,40?
格琳？,카린?
愤怒的可疑男子,분노한 거수자
SPAS-12,SPAS-12
奇异声响,이상한 소리
巨型机械,거대 기계
UMP40的虚拟人格,UMP40의 가상 인격
UMP40？,UMP40?
UMP40保护程序,UMP40 보호 프로그램
神秘黑影,수수께끼의 검은 형체
惊慌的可疑男子,당황한 거수자 남성
匿名用户,익명의 유저
卡尔,칼
雅科夫,야코프
年轻的演员,젊은 배우
剧团成员,극단 단원
“佐拉”,‘졸라’
惊恐的女性,겁에 질린 여성
埃斯梅,에스메
米娅,미아
所有游客,모든 관광객
其他游客,다른 손님
其他玩家,다른 플레이어
惊慌的游客,당황한 관광객
芙勒,플뢰르
扮装小丑,분장한 광대
米雷耶,미레유
珀琳,펄린
米雷耶？,미레유?
珀琳？,펄린?
埃斯梅？,에스메?
少女,소녀
不知名的游客,정체불명의 손님
赫丽安,헬리안
防卫机械,방어 기계
绿区儿童,그린존 어린이
奇塔、琳德,치타,린드
星愿大师（红眼）,위시 마스터(적안)
朗尼,로니
希尔,힐
奥尔菲娅,오르피아
伊莎,이샤
艾琳达,엘린다
星愿大师（蓝眼）,위시 마스터(청안)
安保人员,보안 인원
富商A,부유한 상인A
富商B,부유한 상인B
陌生的男子,낯선 남자
茜莉亚,세실리아
宾客1,빈객1
宾客2,빈객2
宾客3,빈객3
宾客4,빈객4
宾客,빈객
荷官,딜러
机械音,기계음
人形选手,인형 선수
陌生的人形,낯선 인형
实验人员,실험 인원
侍者,웨이터
克罗丽科K-09,캐롤릭K-09
琼玖&奇塔,경구&치타
琼玖、奇塔,경구,치타
霜降小队,상강 소대
小机器人,작은 로봇
手环,팔찌
暴怒的瓦良格帮成员,분노한 바랴그단원
状况外的瓦良格帮成员,뜻밖인 바랴그단원
机械提示音,기계 안내음
绝望的瓦良格帮成员,절망한 바랴그단원
平静的瓦良格帮成员,차분한 바랴그단원
曼尼第二小队成员,매그니 제2소대 대원
曼尼第二小队队长,매그니 제2소대 대장
瓦良格帮派队长,바랴그단 파견부대장
洛克菲,록펠
旁观者,방관자
徒从,신도
逃跑的人,도망치는 사람
瓦良格帮,바랴그단
谨慎的治安队员,신중한 치안대원
严肃的治安队员,엄숙한 치안대원
福利院安保,고아원 경비
骄傲的瓦良格帮成员,교만한 바랴그단원
朴实的瓦良格帮成员,소박한 바랴그단원
冒进的研究人员,성급한 연구원
担忧的研究人员,겁 많은 연구원
慌张的研究人员,당황한 연구원
克罗丽科？,캐롤릭?
用户317ZZ943B#@00,유저317ZZ943B#@00
？？？？,？？？？
安全系统,보안 시스템
奇洛薇格,칠로베이그
研究员,연구원
“白獒”,‘맹견’
军方人员,군인
军官,장교
女孩,여자아이
父亲,아버지
海滩大师,해변 마스터
危重病患,위급한 환자
通讯器里的声音,통신기 속 목소리
青年男子,청년 남성
中年女子,중년 여성
护士,간호사
年轻的医生,젊은 의사
安防小组队员们,보안팀 대원들
治安部门人员,순찰대원
针,이글라
“雪狼”,‘설랑’
武装人员,무장 인원
驾驶员,조종사
“魔方”,‘큐브’
警备员,경비원
军方代表,군부 측 대표
格琳喵,카리냥
年迈的病患,나이든 환자
大吵大嚷的病患,시끄러운 환자
护理师,요양사
欧菲露妮,오르페루네
服务生,웨이터
莱娅&莱娜,리바 & 레나
小孩子的哭声,어린 울음소리
傀儡人形,더미 인형
记者？,기자?
安洁莉娅,안젤리아
RPK-16,RPK-16
AK-15,AK-15
另一个埃芙,또 다른 앨바
AK-12,AK-12
刻薄的检查员,매서운 심사관
冷漠的检查员,냉담한 심사관
观察小队,관찰팀
反应小队,신속대응팀
尖刻的学生,독설적인 학생
好奇的学生,호기심 많은 학생
颓废的学生,퇴폐적인 학생
时事版记者,시사부 기자
科技版记者,과학부 기자
财经版记者,경제부 기자
哈维尔,하벨
披萨先生,피자 씨
小欧菲露妮,어린 오르페루네
广播声,안내방송
男人的声音,남성 목소리
女人的声音,여성 목소리
老人的声音,노인 목소리
贝欧尼斯,베오니스
元气的人形,활기찬 인형
镇定的人形,침착한 인형
陌生的声音,낯선 목소리
无奈的学生,체념한 학생
羡慕的学生,부러운 학생
低落的学生,낙담한 학생
导师,지도교수
兴奋的研究员,흥분한 연구원
讨好的研究员,아부하는 연구원
前台,프론트 접수원
医生,의사
清澈的声音,청아한 목소리
凯文,케빈
长者的声音,나이든 목소리
爵士,훈작사
格琳娜的声音,카리나의 목소리
警卫的声音,경관의 목소리
少女的声音,소녀의 목소리
“她”,\그녀\
狗狗1号,멍멍 1호
？？？？？,?????
智能体A,지능체A
智能体B,지능체B
智能体C,지능체C
智能体的声音A,지능체 목소리 A
智能体的声音B,지능체 목소리 B
熵病毒,엔트로피 바이러스
智能体的声音C,지능체 목소리 C
智能体的声音D,지능체 목소리 D
小智能体,꼬마 지능체
小智能体H3061,지능체 H3061
卡萝,쿠로
贝蒂,베티
阿比盖尔,아비게일
薮春,수춘
刘易斯&帕斯卡,루이스 & 페르시카
维普雷,베프리
教授,교수
聚合熵病毒,융합 엔트로피
帕斯卡？,페르시카?
教授？,교수님?
网络安全小助手,안심안전도우미
机兵狂热粉,기병매니아
晨光曦微,새벽햇살
NotREAL?,NotREAL?
星空探索者,별하늘탐사
疾焰狮子斩,사자열화참
紫丁香的草药师,라일락약초사
愤怒的围观者,분노한 구경꾼
帕斯卡&刘易斯,페르시카 & 루이스
格琳喵教练,카리냥 코치
贝瑞菲尔,베리피엘
老妇人,노부인
安娜,안나
雷达,레이더
DP-12,DP-12
陌生的工作人员,낯선 직원
另一个陌生的工作人员,다른 낯선 직원
曼尼安保小队队长,매그니 소대장
噩兆小队成员,흉조 소대원
曼尼安保小队成员,매그니 소대원
不安的人形,불안한 인형
急躁的人形,조급한 인형
翡图萨（？）,파에투사(?)
乌尔丽德？,울리드...?
海伦？,헬렌?
规矩的人形,고지식한 인형
呆滞的人形,멍한 인형
冷淡的人形,쌀쌀맞은 인형
无表情的人形,무표정한 인형
污染区商贩,오염지대 상인
小兵蚁,꼬마 디너게이트
附近的居民,근처의 주민
衣着简陋的小女孩,옷차림이 남루한 소녀
货车前辈,트럭 선배
供应商,공급상
“货车个性化导航系统”,\커스텀 트럭 내비게이션 시스템\
黑帮成员,갱단원
安德烈,안드레이
忙碌的同事,바쁜 직장 동료
通讯装置,통신 장치
车载广播,차내 라디오
樱花&货车前辈,사쿠라 & 트럭 선배
谄媚的瓦良格帮,아부쟁이 바랴그단원
瓦良格帮小队头目,바랴그단 소대장
慌张的瓦良格帮,당황한 바랴그단
长城列车守军,장성열차 주두군
RFB,RFB
站长,소장
黑帮成员们,갱단원들
樱花&安德烈,사쿠라 & 안드레이
维拉,빌라
裁判长,심판장
台下观众,관객
热情的同事,열정적인 직장 동료
温柔的同事,상냥한 직장 동료
盒子,상자
逃脱者小弟,탈주자 똘마니
逃脱者老大,탈주자 보스
扩音器&大屏幕,확성기 & 대형 스크린
心愿怪盗Z,소원 괴도 Z
希娅,시아
凶狠的誓卫军,사나운 수호군
抢劫的人们,강도짓하는 사람
乔治,조지
白怀德,화이트
巡逻的誓卫军,수호군 순찰대
警报声,경보
制药厂安保小队,제약공장 보안팀
DSR-50？,DSR-50?
瓦西尔,바실
莫科什誓卫军,모코시 수호군
特殊任务小队二组组长,특수작전팀 2분대장
警惕的队员,경계하는 대원
怀疑的队员,의심하는 대원
大喊的队员,소리치는 대원
看守,간수
闪电＆乌尔丽德,그로자 & 울리드
誓卫军第三小队队长,수호군 제3소대 소대장
M200,M200
盖娅,가이아
简易通讯器,간이 통신기
莫科什誓卫,모코쉬 근위대
莫科什居民,모코쉬 주민
薇拉,벨라
仓库工人,창고 인부
温和的人形,온화한 인형
众人形,인형들
虚弱的囚犯,허약한 죄수
激动的囚犯,흥분한 죄수
热情的囚犯,열정적인 죄수
好奇的囚犯,호기심 많은 죄수
E.L.I.D.患者,E.L.I.D. 환자
药厂负责人,제약 공장 책임자
餐车店员,푸드 트럭 직원
米什提,미슈티
沃夫加,볼프강
底层人领袖,하층민 리더
工头,작업 반장
誓卫小队长,근위대 분대장
沮丧的誓卫军,낙담한 근위대
动摇的誓卫军,동요하는 근위대
莫科什的百姓,모코쉬의 백성
底层人民领袖,하층민 지도자
雇佣军军官,용병 장교
佐伊,조이
芙铃,페일린
贝蒂斯,바스티
>永远’s LZ,>영원's LZ
>杠精英技术员,>반항 엘리트 기술자
> MIMimiMICats,> MIMimiMICats
莉迪亚,리디아
稚嫩的声音,앳된 목소리
警戒的侍从,경계하는 시종
慌张的侍从,당황한 시종
侍从长,시종장
粗鲁的声音,거친 목소리
清脆的声音,청아한 목소리
财团打手,재단 행동대원
电子音,전자음
火警,화재 경보
链讯客服,체인톡 고객센터
着急的菠萝,다급한 파인애플
碳酸肥皂,탄산 비누
财团人形部队,재단 인형 부대
硅砂港女孩,실리콘 샌드 항구 소녀
硅砂港男孩,실리콘 샌드 항구 소년
黛拉,델라
硅砂港女孩&男孩,실리콘 샌드 항구 소녀 & 소년
Mk23,Mk23
知穗,치호
翼骑兵成员,후사르 대원
卢卡,루카
伊凡娜,이반나
帕维尔,파벨
星渊,아타락시스
图鲁尔,투어
乔扎,자우저
季风, 계절풍
冒犯的学者, 무례한 학자,
艾尔文, 에르빈,
贝丽丝, 벨리스,
约瑟夫, 요셉,
斯隆, 슬론,
P.M.C.人员, PMC 대원,
集市商贩, 시장 상인,
铁砂团成员, 철사단 단원,
阿加莎, 아가사,
狙击手, 저격수,
契科, 체코,
瓦良格帮A, 바랴그단 A,
瓦良格帮B, 바랴그단 B,
瓦良格帮首领, 바랴그단 우두머리,
拉缇, 라티,
铁砂团成员A, 철사단 단원 A,
铁砂团成员B, 철사단 단원 B,
线人, 정보원,
曼尼安保队员, 매그니 시큐리티 대원,
瓦良格帮老大, 바랴그단 보스,
铁砂团叛徒, 철사단 배신자,
赏金猎人, 현상금 사냥꾼,
研究室主任, 연구실 주임,
Vier, Vier,
Een, Een,
Twee, Twee,
Drie, Drie,
视频中的卡萝, 영상 속의 쿠로,
视频中的贝丽丝, 영상 속의 벨리스,
P90, P90,
同事, 동료,
摄像头, CCTV,
开朗的女孩, 해맑은 여자아이,
库利奇, 쿨리치,
开朗的男孩, 해맑은 남자아이,
